index,disease_name,description,Possible Steps,image_url
0,Scab,"Scab is a common disease caused by a fungus that infects both leaves and fruit. Affected fruit are often unfit for eating. Infected leaves may develop olive green to brown spots. Leaves with numerous spots can turn yellow and fall off prematurely. Repeated leaf loss over several seasons can weaken the plant. Using disease-resistant varieties is one of the most effective management strategies.","Choose resistant varieties when possible. Rake under the plant and destroy infected leaves to reduce the number of fungal spores that can restart the disease cycle. Water in the evening or early morning hours (avoid overhead irrigation) to allow leaves to dry before infection can occur. Spread a 3- to 6-inch layer of compost under the plant, keeping it away from the stem or trunk, to prevent splash dispersal of spores. For optimal control, apply liquid copper soap early, ideally two weeks before symptoms typically appear. Alternatively, begin applications when symptoms are first observed and repeat every 7 to 10 days until flowering ends.",https://extension.umn.edu/sites/extension.umn.edu/files/apple-scab-1.jpg

1,Black Rot,"Leaf symptoms first occur early in the spring as leaves begin to unfold. They appear as small, purple specks on the upper surface of the leaves that enlarge into circular lesions 1/8 to 1/4 inch (3–6 mm) in diameter. The margin of the lesions remains purple, while the center turns tan to brown. In a few weeks, the leaf spots may enlarge further. Heavily infected leaves may become chlorotic and fall off. As the rotted area enlarges on the fruit, concentric bands of black and brown may form. The flesh often remains firm and leathery. Black pycnidia may appear on the surface.","Remove the cankers by pruning at least 15 inches below the end and burn or bury them. Also take preventative care with new season prunings and burn them. It's best to prune during the dormant season to minimize the risk of infection. Take precautions if the bark is damaged by hail or if branches break during storms. Use a copper-based fungicide to protect against black rot and other related fungal diseases.",http://www.omafra.gov.on.ca/english/crops/facts/blackrotf1.jpg

2,Cedar Rust,"Cedar rust is a fungal disease that requires two different host plant species to complete its complex two-year life cycle. Spores overwinter as reddish-brown galls on young twigs of certain host species. In early spring, during wet weather, these galls swell and produce bright orange spore masses that are carried by wind to infect susceptible plants. The spores that develop on these new hosts will infect the original species the following year. The disease alternates between species annually and cannot spread directly between similar host plants.","Choose resistant cultivars when available. Rake up and dispose of fallen leaves and plant debris. Remove galls from infected host plants. In some cases, removing alternate host plants entirely may help. Apply preventative fungicides weekly, starting at bud break, to protect from spore exposure. On the alternate host, rust can be managed by spraying copper solution (0.5 to 2.0 oz/gallon of water) at least four times between late August and late October. Broad-spectrum bio-fungicides like SERENADE Garden, which are organic and non-toxic to pollinators, may also be effective.",https://www.planetnatural.com/wp-content/uploads/2012/12/apple-rust.jpg
3,Healthy,"Optimal growth occurs in full sun, requiring six or more hours of direct sunlight daily. The best location is often on the north side of a structure or elevation. The plant prefers well-drained soil that retains some moisture.","Nutritional benefits include being rich in essential vitamins and fiber. May support weight loss, heart health, and a reduced risk of diabetes. May promote healthy gut bacteria through prebiotic effects. Certain compounds may also help in cancer prevention.",https://previews.123rf.com/images/msnobody/msnobody1508/msnobody150800002/43698436-red-apple-on-a-branch-of-an-apple-tree-on-a-sunny-day-organic-farmingagriculture-fresh-healthy-natur.jpg
4,No Leaf Detected,"There is no leaf in the given image. Please upload an image that clearly shows a leaf.",https://cdn.onlinewebfonts.com/svg/img_332817.png
5,Healthy,"This plant is low in calories but rich in nutrients and antioxidants. These properties may help reduce DNA damage, which in turn may slow aging and reduce the risk of cancer. It may also support cardiovascular health by protecting blood cholesterol and lowering blood pressure.","Use deep, acidic mulch like peat moss, pine needles, or well-aged sawdust to conserve water and stabilize soil moisture. Water during the day, keeping the soil moist but not soggy. Provide at least 1 inch of water per week during growth, increasing to 4 inches during fruiting. The plant is shallow-rooted and requires well-draining soil that retains moisture without remaining waterlogged. Avoid heavy, clay-rich soils.",https://image.shutterstock.com/image-photo/blueberry-leaf-collection-isolated-on-260nw-308491814.jpg
6,Powdery Mildew,"Initial symptoms appear as powdery patches on young leaves, often within 7–10 days of the first irrigation. Older leaves tend to resist infection naturally. Look for infections in humid areas like the canopy interior. This fungus thrives in high humidity and typically starts on the undersides of leaves. Severe cases cause curling, puckering, and distorted new growth.","Prune and discard infected plant parts. Disinfect cutting tools before and after use. Apply fungicides as directed and repeat treatments throughout the season for protection.",http://treefruit.wsu.edu/wp-content/uploads/2017/05/Fig1.png
7,Healthy,"Apply mulch to retain soil moisture. Protect the plant from pests with netting if necessary. Water regularly, especially in dry areas. Thinning of the fruit may occur naturally, so manual thinning isn't always needed.","Rich in nutrients and antioxidants. May support recovery after physical activity. Could improve heart health, sleep quality, and reduce symptoms of arthritis and gout.",https://previews.123rf.com/images/annafrby/annafrby1907/annafrby190700078/127086189-cherry-on-branch-with-green-leaf-healthy-food-fresh-fruit-two-ripe-berries-of-a-cherry-on-a-branch-l.jpg
8,Cercospora Leaf Spot,"This fungal disease causes gray or brown lesions on leaves and thrives in warm, humid conditions. It weakens plants by slowing growth and reducing vigor. Leaf damage typically increases after repeated rainy periods.","Irrigate deeply but not frequently. Avoid heavy nitrogen use. Improve air circulation and light exposure. Mow only when dry if applicable, and avoid certain herbicides during active disease stages.",https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png/330px-Gray_leaf_spot_Cercospora_zeae-maydis_5465607.png
9,Common Rust,"Symptoms include reddish-brown pustules (uredinia) scattered on both surfaces of leaves and sometimes other above-ground parts. Pustules are oval or elongated and break through the leaf surface.","Use disease-resistant plant varieties where possible. Apply fungicides promptly if symptoms appear. No variety is completely immune, so monitoring is important.",https://ohioline.osu.edu/sites/ohioline/files/imce/Plant_Pathology/PLNTPTH-CER-02_Figure_1.png
10,Northern Leaf Blight,"Caused by a fungal pathogen, this disease starts with long, gray-green elliptical lesions that turn pale and necrotic. In wet conditions, lesions may develop spore layers, contributing to a dirty appearance. Severe infections can kill entire leaves.","Fungicide application is most effective at disease onset. Use resistant plant hybrids where available. Monitor closely to time treatments appropriately.",https://crop-protection-network.s3.amazonaws.com/articles/NLB-Daren-Mueller-02.jpg
11,Healthy,"Prefers consistent soil moisture without waterlogging. Ideal temperatures range from 75–80°F during the day and 65–70°F at night. Benefits from bright, indirect sunlight. Occasional yellow leaves are normal unless excessive, which may indicate overwatering or light deficiency.","High in fiber and essential B vitamins. Contains minerals like zinc, magnesium, iron, and manganese. Supports digestion and overall health.",https://c8.alamy.com/comp/A85TR2/young-healthy-green-leaves-of-corn-maize-plant-in-pretty-unfolding-A85TR2.jpg
12,Black Rot,"This fungal disease appears as black-edged brown spots on leaves and affects shoots, stems, tendrils, and fruit. Warm, humid weather favors its spread. Severe infections can lead to complete fruit loss.","Use fungicides like mancozeb or myclobutanil for control. Begin early in the season and repeat as necessary. Sanitize pruning tools and remove infected material.",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Guignardia_bidwellii_08.jpg/330px-Guignardia_bidwellii_08.jpg
13,Esca | Black Measles,"Causes fruit spotting, shoot tip dieback, and leaf discoloration in a ‘tiger stripe’ pattern. Symptoms vary by cultivar color. Fruit may shrivel and develop an acrid taste. Often appears during hot seasons and can result in long-term vine decline.","No fully effective control exists. Remove and destroy infected tissues. Protect pruning wounds with a sealant or fungicide to prevent further infection.",https://www.researchgate.net/profile/Laura-Mugnai/publication/43161073/figure/fig1/AS:340404659605512@1458170203496/Symptoms-associated-with-esca-of-grapevine-chlorosis-and-necrosis-on-the-leaves-showing_Q320.jpg
14,Leaf Blight,"Infected leaves develop yellow to brown lesions. In severe cases, leaves and other green tissues curl, turn brown, and die. Young fruits may become discolored or shriveled. Symptoms can resemble other common diseases.","Apply dormant sprays to reduce infection risks. Prune infected parts and open the canopy to improve airflow. Use both protectant and systemic fungicides. Monitor frequently and treat early.",https://www.goodfruit.com/wp-content/uploads/Black-rot-lesions-on-leaves-indicate-potential-for-fruit-infection-1-feat2.jpg
15,Healthy,Apply water only to the root zone. Avoid getting friut foliage wet as this can encourage many fruit diseases. Reduce watering young vines in the fall to encourage the plant to harden-off its canes to prepare for winter. Older vines seldom need any watering unless on sandy or other very well drained soils.,"Packed With Nutrients, Especially Vitamins C and K.
High Antioxidant Contents May Prevent Chronic Diseases.
Plant Compounds May Protect Against Certain Types of Cancer. 
Beneficial for Heart Health in Various Impressive Ways.
May Decrease Blood Sugar Levels and Protect Against Diabetes.",https://images.indianexpress.com/2021/02/grapes-1200.jpg
